dupdate,filename,hashfile,typehash
"2020-07-30 15:01:29",DPLM070201S0700401.ZIP,2be78bc49cc1b9e037e3d2f606ce18a2,"md5_file (php)"
"2020-07-30 15:01:43",DNPLM070201S0700401.ZIP,a096ec06f0fccd3f7cd321efbedb42ac,"md5_file (php)"
"2020-08-02 12:09:38",DPLM070807S0700401.ZIP,a51ea84c99418773006c74419dd68148,"md5_file (php)"
"2020-08-02 12:10:08",DNPLM070807S0700401.ZIP,b7b5bdcb8a928b07b0876d28d1ceba8e,"md5_file (php)"
"2019-12-30 23:47:38",DPLM070906S0700401.ZIP,a7817e07c860a56559c27ff3b2c6b1b2,"md5_file (php)"
"2019-12-30 23:47:55",DNPLM070906S0700401.ZIP,382062e0ac5c6059b17de1b7078136f5,"md5_file (php)"
"2020-07-30 21:06:46",DPLM070103S0700401.ZIP,60fe24ad3a6bf67fed8a051379dc1a06,"md5_file (php)"
"2020-07-30 21:07:17",DNPLM070103S0700401.ZIP,5d6906b140b9ddd7c0efbe5061f5babe,"md5_file (php)"
"2020-01-16 14:35:35",DPLM070105S0700401.ZIP,1651b584e67c307cb452c1cdf368c1b2,"md5_file (php)"
"2020-01-16 14:35:45",DNPLM070105S0700401.ZIP,91d959750d75a210752dd0b65a9ed975,"md5_file (php)"
"2020-08-01 10:20:55",DPLM070616S0700401.ZIP,cad458215e68206764732e6d6b5f36a8,"md5_file (php)"
"2020-08-01 10:21:20",DNPLM070616S0700401.ZIP,0294ea08708585323de8b6606d0c7ab5,"md5_file (php)"
"2019-12-30 10:14:19",DPLM071103S0700401.ZIP,4b9d727f79ac71a555db783a243590ad,"md5_file (php)"
"2019-12-30 10:14:27",DNPLM071103S0700401.ZIP,169f6c69ae3b82643713eea46ffbd0aa,"md5_file (php)"
"2020-08-02 12:44:53",DPLM070570S0700401.ZIP,9573bf95f36f87be02e364c02ec0be11,"md5_file (php)"
"2020-08-02 12:45:21",DNPLM070570S0700401.ZIP,57aa46ca32ca46e21c8f4521ced49cad,"md5_file (php)"
"2020-01-02 12:56:56",DPLM070560S0700401.ZIP,77577b2a2899a71767b021d70eb2157c,"md5_file (php)"
"2020-01-02 12:56:56",DNPLM070560S0700401.ZIP,618265d9d7121da419048901e2f063fb,"md5_file (php)"
"2020-02-05 09:50:54",DPLM071106S0700401.ZIP,80a779c1d2b2562f2b723cad99afb0b0,"md5_file (php)"
"2020-02-05 09:50:55",DNPLM071106S0700401.ZIP,97f31a7cd29d66cdd501ec93fe42fb48,"md5_file (php)"
"2020-01-14 13:44:30",DPLM070512S0700401.ZIP,40cfbebdfb5b5afc950ff68a50ba6518,"md5_file (php)"
"2020-01-14 13:44:30",DNPLM070512S0700401.ZIP,afd8c45547b6f4100ffc683e8ac1ca84,"md5_file (php)"
"2020-01-20 11:04:10",DPLM071001S0700401.ZIP,1628a60c21e5eff8543deef06e85dac9,"md5_file (php)"
"2020-01-20 11:04:19",DNPLM071001S0700401.ZIP,7df3812d3c59d663f1d84f0f81bacf07,"md5_file (php)"
"2020-01-31 15:16:06",DPLM070571S0700401.ZIP,876bc1e7b6ba6f64dcf2386a4d8f9322,"md5_file (php)"
"2020-01-31 15:16:26",DNPLM070571S0700401.ZIP,96c51df54ef7e2cc13e1a77ea00ed970,"md5_file (php)"
"2019-12-31 15:20:14",DPLM070510S0700401.ZIP,ef8cf5863f3209fea1c602acc1922f94,"md5_file (php)"
"2019-12-31 15:21:16",DNPLM070510S0700401.ZIP,cddad3e10291a961b6ffc6353d3d6851,"md5_file (php)"
"2020-07-31 16:24:24",DPLM070405S0700401.ZIP,d7b51d0e9c2578f0e2b479d7bb843b5b,"md5_file (php)"
"2020-07-31 16:24:28",DNPLM070405S0700401.ZIP,46dcf7f95c9aca8c4f20e768b1a81d73,"md5_file (php)"
"2020-08-03 08:28:20",DPLM070714S0700401.ZIP,f108df76450a5abe6beda732eedc8ff3,"md5_file (php)"
"2020-08-03 08:28:27",DNPLM070714S0700401.ZIP,050900761ff85169538b1a9f838ffe65,"md5_file (php)"
