dupdate,filename,hashfile,typehash
"2020-10-06 17:13:25",DPLM070201S0700401.ZIP,2f004ede6b973905d9386c339614aa64,"md5_file (php)"
"2020-10-06 17:13:43",DNPLM070201S0700401.ZIP,73ff184b50b6773a19dcacd6841ead1e,"md5_file (php)"
"2020-10-06 17:10:55",DPLM070807S0700401.ZIP,8354dc16ff80fcebd3f58cff4402621c,"md5_file (php)"
"2020-10-06 17:11:17",DNPLM070807S0700401.ZIP,94f444522499b6081b2f5a8beb35c1df,"md5_file (php)"
"2020-08-04 22:45:10",DPLM070906S0700401.ZIP,b442d6f34370829ce8f1e81aed833d34,"md5_file (php)"
"2020-08-04 22:45:30",DNPLM070906S0700401.ZIP,8f26b788b82802e36732da48f7c7cd8b,"md5_file (php)"
"2020-09-04 08:50:21",DPLM070103S0700401.ZIP,c7d3953235a2fa0fb75280971127ab90,"md5_file (php)"
"2020-09-04 08:50:43",DNPLM070103S0700401.ZIP,6f25b256b22730c82dc4be5864ef94b7,"md5_file (php)"
"2020-08-05 12:50:37",DPLM070105S0700401.ZIP,9d97eac7ae1e1384ed3ff15cf3c6db62,"md5_file (php)"
"2020-08-05 12:50:44",DNPLM070105S0700401.ZIP,ec8876b940a83fd26c5eea73fec4e7c8,"md5_file (php)"
"2020-08-01 10:20:55",DPLM070616S0700401.ZIP,cad458215e68206764732e6d6b5f36a8,"md5_file (php)"
"2020-08-01 10:21:20",DNPLM070616S0700401.ZIP,0294ea08708585323de8b6606d0c7ab5,"md5_file (php)"
"2020-08-04 12:44:24",DPLM071103S0700401.ZIP,e98498db2b9df42a2ea24a8caa37001f,"md5_file (php)"
"2020-08-04 12:44:31",DNPLM071103S0700401.ZIP,5e407bc803c59855865da6c44f6c123c,"md5_file (php)"
"2020-08-03 11:43:43",DPLM070570S0700401.ZIP,23a93709d5e2aad6c939a375912c5cf0,"md5_file (php)"
"2020-08-03 11:44:23",DNPLM070570S0700401.ZIP,d6a06621307328926d8a730fb482fff7,"md5_file (php)"
"2020-01-02 12:56:56",DPLM070560S0700401.ZIP,77577b2a2899a71767b021d70eb2157c,"md5_file (php)"
"2020-01-02 12:56:56",DNPLM070560S0700401.ZIP,618265d9d7121da419048901e2f063fb,"md5_file (php)"
"2020-08-10 12:56:51",DPLM071106S0700401.ZIP,c1da3f0c4ef87f14d8149d183ab30fdf,"md5_file (php)"
"2020-08-10 12:56:52",DNPLM071106S0700401.ZIP,d849158eccfa3cdddde4e935e66fc6bb,"md5_file (php)"
"2020-01-14 13:44:30",DPLM070512S0700401.ZIP,40cfbebdfb5b5afc950ff68a50ba6518,"md5_file (php)"
"2020-01-14 13:44:30",DNPLM070512S0700401.ZIP,afd8c45547b6f4100ffc683e8ac1ca84,"md5_file (php)"
"2020-08-05 12:33:40",DPLM071001S0700401.ZIP,51f0cf2bde6f785adf0b954fa89303be,"md5_file (php)"
"2020-08-05 12:33:47",DNPLM071001S0700401.ZIP,3d1d40d13825e40d9b4233e695cdda7c,"md5_file (php)"
"2020-09-08 09:38:23",DPLM070571S0700401.ZIP,6eb928f6751ea3c7886ddf14e66f9038,"md5_file (php)"
"2020-09-08 09:38:47",DNPLM070571S0700401.ZIP,c1f624da694e1e62774a25a4825f74e8,"md5_file (php)"
"2020-08-04 09:52:12",DPLM070510S0700401.ZIP,63ecd1b165dbe913473a965fc0bfe6e1,"md5_file (php)"
"2020-08-04 09:53:39",DNPLM070510S0700401.ZIP,2d5a484484438298c6f8e6b02452c40e,"md5_file (php)"
"2020-10-08 11:13:42",DPLMbudaeva.larisaS0700401.ZIP,b28de254a05e3e5ca25d9c0c97c80215,"md5_file (php)"
"2020-10-08 11:13:43",DNPLMbudaeva.larisaS0700401.ZIP,6c66cbdfd86280b2f263467423c53fc7,"md5_file (php)"
"2020-09-10 16:30:25",DPLM070405S0700401.ZIP,79678885c9d428dcea731095cc14b7bb,"md5_file (php)"
"2020-09-10 16:30:33",DNPLM070405S0700401.ZIP,cf8b18081eb97302c7390ebfad83ff36,"md5_file (php)"
"2020-09-11 14:56:57",DPLM070714S0700401.ZIP,b18bfd3ac4944ce61e167a29ea46fbdc,"md5_file (php)"
"2020-09-11 14:57:07",DNPLM070714S0700401.ZIP,4f71d4216de96602e53bf54b6c92b2ce,"md5_file (php)"
