dupdate,filename,hashfile,typehash
"2020-07-30 15:01:29",DPLM070201S0700401.ZIP,2be78bc49cc1b9e037e3d2f606ce18a2,"md5_file (php)"
"2020-07-30 15:01:43",DNPLM070201S0700401.ZIP,a096ec06f0fccd3f7cd321efbedb42ac,"md5_file (php)"
"2020-08-02 12:09:38",DPLM070807S0700401.ZIP,a51ea84c99418773006c74419dd68148,"md5_file (php)"
"2020-08-02 12:10:08",DNPLM070807S0700401.ZIP,b7b5bdcb8a928b07b0876d28d1ceba8e,"md5_file (php)"
"2020-08-04 22:45:10",DPLM070906S0700401.ZIP,b442d6f34370829ce8f1e81aed833d34,"md5_file (php)"
"2020-08-04 22:45:30",DNPLM070906S0700401.ZIP,8f26b788b82802e36732da48f7c7cd8b,"md5_file (php)"
"2020-07-30 21:06:46",DPLM070103S0700401.ZIP,60fe24ad3a6bf67fed8a051379dc1a06,"md5_file (php)"
"2020-07-30 21:07:17",DNPLM070103S0700401.ZIP,5d6906b140b9ddd7c0efbe5061f5babe,"md5_file (php)"
"2020-08-05 12:50:37",DPLM070105S0700401.ZIP,9d97eac7ae1e1384ed3ff15cf3c6db62,"md5_file (php)"
"2020-08-05 12:50:44",DNPLM070105S0700401.ZIP,ec8876b940a83fd26c5eea73fec4e7c8,"md5_file (php)"
"2020-08-01 10:20:55",DPLM070616S0700401.ZIP,cad458215e68206764732e6d6b5f36a8,"md5_file (php)"
"2020-08-01 10:21:20",DNPLM070616S0700401.ZIP,0294ea08708585323de8b6606d0c7ab5,"md5_file (php)"
"2020-08-04 12:44:24",DPLM071103S0700401.ZIP,e98498db2b9df42a2ea24a8caa37001f,"md5_file (php)"
"2020-08-04 12:44:31",DNPLM071103S0700401.ZIP,5e407bc803c59855865da6c44f6c123c,"md5_file (php)"
"2020-08-03 11:43:43",DPLM070570S0700401.ZIP,23a93709d5e2aad6c939a375912c5cf0,"md5_file (php)"
"2020-08-03 11:44:23",DNPLM070570S0700401.ZIP,d6a06621307328926d8a730fb482fff7,"md5_file (php)"
"2020-01-02 12:56:56",DPLM070560S0700401.ZIP,77577b2a2899a71767b021d70eb2157c,"md5_file (php)"
"2020-01-02 12:56:56",DNPLM070560S0700401.ZIP,618265d9d7121da419048901e2f063fb,"md5_file (php)"
"2020-08-10 12:56:51",DPLM071106S0700401.ZIP,c1da3f0c4ef87f14d8149d183ab30fdf,"md5_file (php)"
"2020-08-10 12:56:52",DNPLM071106S0700401.ZIP,d849158eccfa3cdddde4e935e66fc6bb,"md5_file (php)"
"2020-01-14 13:44:30",DPLM070512S0700401.ZIP,40cfbebdfb5b5afc950ff68a50ba6518,"md5_file (php)"
"2020-01-14 13:44:30",DNPLM070512S0700401.ZIP,afd8c45547b6f4100ffc683e8ac1ca84,"md5_file (php)"
"2020-08-05 12:33:40",DPLM071001S0700401.ZIP,51f0cf2bde6f785adf0b954fa89303be,"md5_file (php)"
"2020-08-05 12:33:47",DNPLM071001S0700401.ZIP,3d1d40d13825e40d9b4233e695cdda7c,"md5_file (php)"
"2020-08-11 13:54:04",DPLM070571S0700401.ZIP,47caf47c3632f3a61eba3b7a2e27cd39,"md5_file (php)"
"2020-08-11 13:54:29",DNPLM070571S0700401.ZIP,dc29bce2450c76104ba5af7253d0b6c3,"md5_file (php)"
"2020-08-04 09:52:12",DPLM070510S0700401.ZIP,63ecd1b165dbe913473a965fc0bfe6e1,"md5_file (php)"
"2020-08-04 09:53:39",DNPLM070510S0700401.ZIP,2d5a484484438298c6f8e6b02452c40e,"md5_file (php)"
"2020-08-07 09:05:14",DPLM070405S0700401.ZIP,02a651529bfcaec8ea17f59f35a882e6,"md5_file (php)"
"2020-08-07 09:05:18",DNPLM070405S0700401.ZIP,5fa3f03fbeb890d64c8dbc1e248bdd3c,"md5_file (php)"
"2020-08-03 08:28:20",DPLM070714S0700401.ZIP,f108df76450a5abe6beda732eedc8ff3,"md5_file (php)"
"2020-08-03 08:28:27",DNPLM070714S0700401.ZIP,050900761ff85169538b1a9f838ffe65,"md5_file (php)"
