dupdate,filename,hashfile,typehash
"2021-01-29 18:55:59",DPLM070201S0700401.ZIP,bbb9056a3f69d8da8d75142024c46eea,"md5_file (php)"
"2021-01-29 18:56:15",DNPLM070201S0700401.ZIP,722337cae8de3032f4c2111312319d01,"md5_file (php)"
"2021-02-03 15:23:52",DPLM070807S0700401.ZIP,a34d04c4f70c70f42dc94e93fd53516d,"md5_file (php)"
"2021-02-03 15:24:02",DNPLM070807S0700401.ZIP,c67199e33517a03e0b6717db777c4f18,"md5_file (php)"
"2020-12-02 23:31:54",DPLM070906S0700401.ZIP,76470196cc84044dde47db8e161e6b11,"md5_file (php)"
"2020-12-02 23:32:15",DNPLM070906S0700401.ZIP,989d9c9bd795e55fb05bb375468078da,"md5_file (php)"
"2021-02-01 09:28:35",DPLM070103S0700401.ZIP,bd8f8f7f4b699831c800bb080c90c4e3,"md5_file (php)"
"2021-02-01 09:28:36",DNPLM070103S0700401.ZIP,1ea35333abdbd4d93e470a3e4643fdf2,"md5_file (php)"
"2020-08-05 12:50:37",DPLM070105S0700401.ZIP,9d97eac7ae1e1384ed3ff15cf3c6db62,"md5_file (php)"
"2020-08-05 12:50:44",DNPLM070105S0700401.ZIP,ec8876b940a83fd26c5eea73fec4e7c8,"md5_file (php)"
"2021-01-29 16:10:08",DPLM070616S0700401.ZIP,1d4ff60b27d869dc3ede31a94f0fc1dc,"md5_file (php)"
"2021-01-29 16:10:09",DNPLM070616S0700401.ZIP,94ee45330ce75c185d6ae1188be8b8fb,"md5_file (php)"
"2020-08-04 12:44:24",DPLM071103S0700401.ZIP,e98498db2b9df42a2ea24a8caa37001f,"md5_file (php)"
"2020-08-04 12:44:31",DNPLM071103S0700401.ZIP,5e407bc803c59855865da6c44f6c123c,"md5_file (php)"
"2021-02-03 14:49:46",DPLM070570S0700401.ZIP,3b1db3a37ab66824aa8ac11fe785d466,"md5_file (php)"
"2021-02-03 14:50:51",DNPLM070570S0700401.ZIP,0c76e405287f835ac91556f92f203119,"md5_file (php)"
"2020-01-02 12:56:56",DPLM070560S0700401.ZIP,77577b2a2899a71767b021d70eb2157c,"md5_file (php)"
"2020-01-02 12:56:56",DNPLM070560S0700401.ZIP,618265d9d7121da419048901e2f063fb,"md5_file (php)"
"2020-08-10 12:56:51",DPLM071106S0700401.ZIP,c1da3f0c4ef87f14d8149d183ab30fdf,"md5_file (php)"
"2020-08-10 12:56:52",DNPLM071106S0700401.ZIP,d849158eccfa3cdddde4e935e66fc6bb,"md5_file (php)"
"2020-01-14 13:44:30",DPLM070512S0700401.ZIP,40cfbebdfb5b5afc950ff68a50ba6518,"md5_file (php)"
"2020-01-14 13:44:30",DNPLM070512S0700401.ZIP,afd8c45547b6f4100ffc683e8ac1ca84,"md5_file (php)"
"2020-12-28 10:29:25",DPLM071001S0700401.ZIP,a5f52e450ab8ae8e5ae9d6635399b8a4,"md5_file (php)"
"2020-12-28 10:29:33",DNPLM071001S0700401.ZIP,c75798a6d109f7099158eac5b5ffe47e,"md5_file (php)"
"2020-09-08 09:38:23",DPLM070571S0700401.ZIP,6eb928f6751ea3c7886ddf14e66f9038,"md5_file (php)"
"2020-09-08 09:38:47",DNPLM070571S0700401.ZIP,c1f624da694e1e62774a25a4825f74e8,"md5_file (php)"
"2021-01-30 13:29:30",DPLM070510S0700401.ZIP,009da0ceb209a232f784950ce6ca0f33,"md5_file (php)"
"2021-01-30 13:29:30",DNPLM070510S0700401.ZIP,0ca9d4dc9c9a82d30fd9e71e906aa284,"md5_file (php)"
"2020-10-08 11:13:42",DPLMbudaeva.larisaS0700401.ZIP,b28de254a05e3e5ca25d9c0c97c80215,"md5_file (php)"
"2020-10-08 11:13:43",DNPLMbudaeva.larisaS0700401.ZIP,6c66cbdfd86280b2f263467423c53fc7,"md5_file (php)"
"2021-01-30 10:42:15",DPLM070405S0700401.ZIP,ee91e762f2f036684d4d653868f36f5b,"md5_file (php)"
"2021-01-30 10:42:27",DNPLM070405S0700401.ZIP,04ab626376e365b2bdaa3fec43353d60,"md5_file (php)"
"2021-02-03 17:25:11",DPLM070714S0700401.ZIP,99dc331d054b6ed14d01e535e885e75b,"md5_file (php)"
"2021-02-03 17:25:11",DNPLM070714S0700401.ZIP,5bec7fafb9a0d174a20c61a7e7d1b698,"md5_file (php)"
